,Name,MC_USD_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,Industrial and Commercial Bank of China,6303.44,5862.2,5042.75,522870.35
1,Agricultural Bank of China,5623.12,5229.5,4498.5,466437.8
2,China Construction Bank,5400.28,5022.26,4320.22,447953.23
3,Bank of China,4578.28,4257.8,3662.62,379768.33
4,JPMorgan Chase,3875.39,3604.11,3100.31,321463.6
5,Bank of America,3180.15,2957.54,2544.12,263793.44
6,HSBC,2919.84,2715.45,2335.87,242200.73
7,BNP Paribas,2867.44,2666.72,2293.95,237854.15
8,Mitsubishi UFJ Financial Group,2816.77,2619.6,2253.42,233651.07
9,Crédit Agricole,2736.95,2545.36,2189.56,227030.0
10,Postal Savings Bank of China,2217.86,2062.61,1774.29,183971.49
11,Citigroup,2200.83,2046.77,1760.66,182558.85
12,SMBC Group,2027.34,1885.43,1621.87,168167.85
13,Banco Santander,1986.36,1847.31,1589.09,164768.56
14,Bank of Communications,1982.89,1844.09,1586.31,164480.73
15,Wells Fargo,1932.47,1797.2,1545.98,160298.39
16,Mizuho Financial Group,1923.56,1788.91,1538.85,159559.3
17,Barclays,1891.72,1759.3,1513.38,156918.17
18,Société Générale,1717.49,1597.27,1373.99,142465.8
19,UBS,1717.25,1597.04,1373.8,142445.89
20,Groupe BPCE,1706.8,1587.32,1365.44,141579.06
21,Goldman Sachs,1641.59,1526.68,1313.27,136169.89
22,Japan Post Bank,1625.6,1511.81,1300.48,134843.52
23,Royal Bank of Canada,1566.41,1456.76,1253.13,129933.71
24,China Merchants Bank,1555.3,1446.43,1244.24,129012.14
25,Deutsche Bank,1450.57,1349.03,1160.46,120324.78
26,Industrial Bank (China),1432.59,1332.31,1146.07,118833.34
27,Toronto-Dominion Bank,1428.29,1328.31,1142.63,118476.66
28,China CITIC Bank,1276.63,1187.27,1021.3,105896.46
29,Crédit Mutuel,1262.95,1174.54,1010.36,104761.7
30,Shanghai Pudong Development Bank,1207.18,1122.68,965.74,100135.58
31,Morgan Stanley,1193.69,1110.13,954.95,99016.59
32,Lloyds Banking Group,1122.76,1044.17,898.21,93132.94
33,China Minsheng Bank,1082.37,1006.6,865.9,89782.59
34,ING Group,1078.35,1002.87,862.68,89449.13
35,Intesa Sanpaolo,1066.74,992.07,853.39,88486.08
36,Scotiabank,1041.11,968.23,832.89,86360.07
37,Bank of Montreal,990.19,920.88,792.15,82136.26
38,China Everbright Bank,955.14,888.28,764.11,79228.86
39,NatWest Group,882.3,820.54,705.84,73186.78
40,UniCredit,872.9,811.8,698.32,72407.06
41,Commonwealth Bank,868.74,807.93,694.99,72061.98
42,Banco Bilbao Vizcaya Argentaria,857.25,797.24,685.8,71108.89
43,Standard Chartered,822.84,765.24,658.27,68254.58
44,La Banque postale,815.91,758.8,652.73,67679.73
45,Ping An Bank,787.93,732.77,630.34,65358.79
46,State Bank of India,780.05,725.45,624.04,64705.15
47,ANZ (bank),769.59,715.72,615.67,63837.49
48,Canadian Imperial Bank of Commerce,726.27,675.43,581.02,60244.1
